"Sa,g",a,R,C0,C1,Te,Cm,Base Shear Coefficient,"Roof,DR,%"
0.2,60.0,0.3,1.49,0.79,0.24,79.2,0.58,1.4
0.2,60.0,1.7,1.28,1.0,2.05,87.6,0.11,1.5
0.8,60.0,0.8,1.0,1.0,0.32,100.0,1.02,1.7
0.8,60.0,2.3,1.0,1.03,0.41,100.0,0.35,2.2
1.2,60.0,1.6,1.49,1.03,0.24,69.1,0.6,2.1
1.3,90.0,1.9,1.0,1.16,0.24,100.0,0.69,1.8
1.1,60.0,3.1,1.0,1.2,0.41,100.0,0.35,3.5
1.5,60.0,1.5,1.0,1.08,0.32,100.0,1.03,3.0
1.6,60.0,3.1,1.37,1.04,0.97,77.1,0.4,2.0
0.8,60.0,0.9,1.44,0.99,0.25,79.2,0.58,0.1
0.9,60.0,1.0,1.0,0.99,0.26,100.0,0.92,1.7
1.9,60.0,2.7,1.0,1.12,0.24,100.0,0.7,2.4
1.2,60.0,1.4,1.44,1.02,0.25,84.9,0.58,0.9
1.1,90.0,0.8,1.0,0.99,0.19,100.0,1.36,1.0
0.2,60.0,0.2,1.49,0.97,0.24,69.1,0.6,1.1
0.3,60.0,0.9,1.31,0.99,0.5,80.0,0.26,1.1
0.5,60.0,1.5,1.31,1.03,0.5,76.0,0.26,1.7
0.5,60.0,1.3,1.27,1.01,0.38,90.1,0.3,1.2
0.8,60.0,1.1,1.45,1.0,0.21,67.7,0.52,1.2
0.1,60.0,0.3,1.0,1.0,1.47,100.0,0.26,0.8
1.0,60.0,0.6,1.41,1.0,0.23,70.1,1.16,0.6
0.9,60.0,1.8,1.31,1.01,1.26,79.8,0.4,0.8
0.7,90.0,2.6,1.0,1.01,1.47,100.0,0.26,5.0
1.6,60.0,1.8,1.44,1.03,0.25,86.0,0.58,0.3
0.8,60.0,1.0,1.3,1.0,0.27,83.7,0.66,0.9
0.3,60.0,1.0,1.31,1.0,0.5,78.6,0.26,1.3
0.9,60.0,1.3,1.0,1.05,0.33,100.0,0.68,1.6
0.5,60.0,0.5,1.0,0.99,0.26,100.0,0.92,0.5
1.1,60.0,2.2,1.37,1.02,0.97,79.4,0.39,1.9
0.3,90.0,1.1,1.0,1.0,1.47,100.0,0.26,2.1
0.6,60.0,1.8,1.31,1.01,0.5,80.0,0.26,2.3
1.8,90.0,1.3,1.0,1.03,0.19,100.0,1.36,1.4
0.4,60.0,0.8,1.31,1.0,1.26,79.8,0.4,0.7
0.2,60.0,0.3,1.49,0.79,0.24,83.3,0.58,1.3
0.9,60.0,1.8,1.31,1.01,1.26,79.4,0.39,1.8
0.5,60.0,1.3,1.37,1.04,0.37,74.6,0.29,1.1
0.6,60.0,0.9,1.37,1.0,0.32,73.2,0.42,1.3
1.5,60.0,2.1,1.0,1.18,0.33,100.0,0.68,3.0
0.5,60.0,1.5,1.31,1.01,0.5,78.6,0.26,1.9
0.6,60.0,1.8,1.31,1.05,0.5,79.3,0.26,2.3
1.9,90.0,1.4,1.0,1.13,0.19,100.0,1.36,1.4
1.6,60.0,2.1,1.45,1.41,0.21,69.2,0.52,2.0
0.6,90.0,1.5,1.0,1.04,0.36,100.0,0.41,1.6
0.8,90.0,2.4,1.0,1.09,0.41,100.0,0.35,2.5
0.7,90.0,0.8,1.0,0.98,0.29,100.0,0.8,0.9
0.8,90.0,1.9,1.0,1.02,0.36,100.0,0.41,1.7
1.9,60.0,2.1,1.0,1.26,0.26,100.0,0.92,3.5
0.5,60.0,0.5,1.0,0.99,0.26,100.0,0.92,0.7
1.5,60.0,6.0,1.0,1.04,1.47,100.0,0.26,10.0
1.5,60.0,1.5,1.0,1.08,0.32,100.0,1.03,3.5
1.5,90.0,2.1,1.0,1.05,0.24,100.0,0.69,1.8
1.4,60.0,1.2,1.45,1.11,0.19,67.7,0.78,0.8
0.9,60.0,0.8,1.0,0.97,0.32,100.0,1.03,2.1
0.7,60.0,2.0,1.31,1.07,0.5,79.3,0.26,2.6
1.2,60.0,1.1,1.0,1.0,0.32,100.0,1.03,2.5
0.8,60.0,2.5,1.31,1.02,0.5,79.4,0.26,3.1
1.0,60.0,4.0,1.0,1.02,1.47,100.0,0.26,6.3
0.6,60.0,1.1,1.37,1.0,0.97,80.0,0.39,0.8
1.2,60.0,1.4,1.44,1.02,0.25,82.1,0.58,0.9
0.3,60.0,1.1,1.26,1.01,0.49,90.7,0.25,1.0
1.5,60.0,1.5,1.0,1.08,0.32,100.0,1.02,3.5
2.1,60.0,2.3,1.0,1.32,0.26,100.0,0.92,3.9
0.8,90.0,2.4,1.0,1.02,0.41,100.0,0.35,2.4
1.7,90.0,1.3,1.0,1.02,0.19,100.0,1.36,1.4
1.1,60.0,1.5,1.49,1.02,0.24,66.5,0.6,1.7
1.1,60.0,4.2,1.0,1.02,1.47,100.0,0.26,6.3
1.5,90.0,1.1,1.0,1.02,0.19,100.0,1.36,1.1
0.8,60.0,2.8,1.26,1.12,0.49,87.8,0.25,3.6
1.8,60.0,1.3,1.0,1.13,0.19,100.0,1.37,1.4
0.3,60.0,1.1,1.26,1.01,0.49,90.2,0.25,1.1
0.4,60.0,0.7,1.27,0.99,0.35,88.2,0.43,1.0
1.6,90.0,2.3,1.0,1.03,0.33,100.0,0.68,2.4
1.3,60.0,1.2,1.0,1.04,0.32,100.0,1.02,2.2
1.2,90.0,3.0,1.0,1.17,0.36,100.0,0.41,3.6
0.4,60.0,0.8,1.27,1.0,0.35,88.2,0.43,1.1
0.2,60.0,0.4,1.31,0.99,1.26,77.4,0.4,0.2
2.0,60.0,2.1,1.0,1.28,0.26,100.0,0.92,3.5
0.8,60.0,2.8,1.26,1.13,0.49,90.2,0.25,3.6
0.9,60.0,2.3,1.37,1.02,0.37,74.6,0.29,2.6
1.3,60.0,2.1,1.37,1.17,0.32,71.2,0.42,3.1
