"Sa,g",a,R,C0,C1,Te,Cm,Base Shear Coefficient,Target
0.2,60,1.6,1.28,1,2.05,82.2,0.11,1.2
0.1,60,0.3,1,1,1.47,100,0.26,0.8
0.3,90,1.2,1,1,1.47,100,0.26,1.8
0.7,90,2.6,1,1.01,1.47,100,0.26,5
0.3,90,1.1,1,1,1.47,100,0.26,1.6
1,60,4,1,1.02,1.47,100,0.26,6.3
0.7,90,2.6,1,1.01,1.47,100,0.26,5.1
1.3,60,4.9,1,1.03,1.47,100,0.26,8.8
1.5,60,5.9,1,1.04,1.47,100,0.26,9.9
1.5,60,5.9,1,1.04,1.47,100,0.26,7
1.5,60,5.9,1,1.04,1.47,100,0.26,10
0.1,60,0.2,1.37,0.99,0.97,79.3,0.39,0.2
0.3,60,0.6,1.37,0.99,0.97,79.3,0.39,0.5
0.6,60,1.2,1.37,1,0.97,79.3,0.39,1
1.1,60,2.2,1.37,1.02,0.97,79.3,0.39,1.8
0.8,60,1.6,1.37,1.01,0.97,79.3,0.39,0.7
0.1,60,0.2,1.31,0.99,1.26,77.4,0.4,0.1
0.2,60,0.4,1.31,0.99,1.26,77.4,0.4,0.2
0.4,60,0.9,1.31,1,1.26,77.4,0.4,0.4
0.9,60,1.9,1.31,1.01,1.26,77.4,0.4,0.8
0.4,60,0.9,1.31,1,1.26,77.4,0.4,0.7
0.5,60,0.6,1,0.89,0.26,100,0.92,0.5
1,60,1.1,1,1.03,0.26,100,0.92,1.7
1.5,60,1.7,1,1.16,0.26,100,0.92,2.5
2.1,60,2.3,1,1.32,0.26,100,0.92,3.5
2,60,2.1,1,1.28,0.26,100,0.92,3
2.1,60,2.3,1,1.32,0.26,100,0.92,3.5
1.6,60,1.7,1,1.17,0.26,100,0.92,2.2
1,60,1.1,1,1.03,0.26,100,0.92,1.8
0.6,60,0.6,1,0.9,0.26,100,0.92,0.8
2,60,2.1,1,1.28,0.26,100,0.92,3.5
0.4,60,0.4,1,0.91,0.32,100,1.02,0.9
0.9,60,0.8,1,0.98,0.32,100,1.02,1.7
1.3,60,1.2,1,1.04,0.32,100,1.02,2.2
1.7,60,1.7,1,1.11,0.32,100,1.02,3
1.7,60,1.6,1,1.1,0.32,100,1.02,3.4
1.7,60,1.6,1,1.1,0.32,100,1.03,3
1.3,60,1.3,1,1.04,0.32,100,1.03,2.7
0.9,60,0.8,1,0.97,0.32,100,1.03,2.1
0.4,60,0.4,1,0.91,0.32,100,1.03,1.1
1.7,60,1.6,1,1.1,0.32,100,1.03,3.1
0.1,60,0.3,1.37,0.99,0.97,77.4,0.4,0.1
0.3,60,0.6,1.37,0.99,0.97,77.4,0.4,0.3
0.7,60,1.3,1.37,1.01,0.97,77.4,0.4,0.6
1.3,60,2.6,1.37,1.03,0.97,77.4,0.4,0.9
1.4,60,2.7,1.37,1.03,0.97,77.4,0.4,1
1.6,60,3.2,1.37,1.04,0.97,77.4,0.4,1.3
0.1,60,0.2,1.31,0.99,1.26,79.3,0.39,0.2
0.2,60,0.5,1.31,0.99,1.26,79.3,0.39,0.6
0.4,60,0.9,1.31,1,1.26,79.3,0.39,1
0.9,60,1.8,1.31,1.01,1.26,79.3,0.39,1.8
0.9,60,1.8,1.31,1.01,1.26,79.3,0.39,1.9
0.7,60,1.5,1.31,1.01,1.26,79.3,0.39,1.2
0.8,60,1.1,1.45,1.02,0.21,69.2,0.52,1.2
1.5,60,2,1.45,1.38,0.21,69.2,0.52,2
1.3,60,1.2,1.45,1.07,0.19,68.7,0.78,2.3
0.4,60,1.2,1.31,1.02,0.45,82.6,0.24,1
0.6,60,2.1,1.31,1.09,0.45,82.6,0.24,2.1
0.7,60,2.4,1.31,1.12,0.45,82.6,0.24,2.8
0.4,60,1.3,1.31,1.02,0.47,85.4,0.24,1.1
0.6,60,2.2,1.31,1.09,0.47,85.4,0.24,2
0.7,60,2.6,1.31,1.12,0.47,85.4,0.24,2.6
0.6,60,0.9,1.37,0.99,0.32,71.2,0.42,1.3
1.1,60,1.7,1.37,1.12,0.32,71.2,0.42,2.4
1.3,60,2.1,1.37,1.17,0.32,71.2,0.42,3.1
1.4,60,2.4,1.37,1.22,0.32,71.2,0.42,2.9
0.5,60,1.3,1.37,1.04,0.37,73.6,0.29,1.3
0.9,60,2.2,1.37,1.15,0.37,73.6,0.29,2.5
0.9,60,2.3,1.37,1.15,0.37,73.6,0.29,2.6
0.5,60,1.2,1.37,1.03,0.37,73.4,0.29,0.8
0.6,60,1,1.37,1,0.33,71.1,0.42,1
1.3,60,2.1,1.37,1.17,0.33,71.1,0.42,2.1
1.5,60,2.4,1.37,1.22,0.33,71.1,0.42,2.8
0.3,60,0.9,1.31,0.99,0.5,77.2,0.26,1.3
0.6,60,1.8,1.31,1.05,0.5,77.2,0.26,2.3
0.9,60,2.5,1.31,1.1,0.5,77.2,0.26,4.4
0.1,60,0.3,1.31,0.96,0.5,77.2,0.26,0.4
0.2,60,0.6,1.31,0.98,0.5,77.2,0.26,0.8
0.4,60,1,1.31,1,0.5,77.2,0.26,1.1
0.4,60,1,1.31,1,0.5,77.2,0.26,1.1
0.5,60,1.5,1.31,1.03,0.5,77.2,0.26,1.7
0.7,60,2,1.31,1.07,0.5,77.2,0.26,2.6
0.8,60,2.5,1.31,1.1,0.5,77.2,0.26,4.3
0.4,60,1.1,1.36,1.01,0.4,81.1,0.29,1.1
0.4,60,1.1,1.32,1.01,0.41,81.5,0.29,1
0.3,60,1.1,1.26,1.01,0.49,90.2,0.25,1.1
0.5,60,1.9,1.26,1.06,0.49,90.2,0.25,1.8
0.8,60,2.8,1.26,1.13,0.49,90.2,0.25,3.6
0.3,60,0.9,1.31,0.99,0.44,80,0.29,1
0.6,60,1.6,1.31,1.05,0.44,80,0.29,1.7
1,60,2.6,1.31,1.14,0.44,80,0.29,3
1.1,60,0.6,1.41,0.88,0.23,69.5,1.15,0.7
0.9,60,0.5,1.41,0.84,0.23,69.5,1.16,0.6
1.3,60,0.8,1.41,0.92,0.23,69.5,1.16,1.1
1.4,60,0.8,1.41,0.94,0.23,69.5,1.16,1.2
0.9,60,1,1.44,0.99,0.25,82.4,0.58,0.1
1.2,60,1.4,1.44,1.1,0.25,82.4,0.58,0.9
1.6,60,1.8,1.44,1.21,0.25,82.4,0.58,0.3
2.2,60,2.4,1.44,1.39,0.25,82.4,0.58,1
0.2,60,0.2,1.49,0.79,0.24,82.4,0.58,1.4
0.9,60,1.2,1.49,1.06,0.24,82.4,0.58,1.6
0.2,60,0.2,1.49,0.78,0.24,69.6,0.6,1.1
0.8,60,1.1,1.49,1.04,0.24,69.6,0.6,1.7
1.2,60,1.6,1.49,1.16,0.24,69.6,0.6,2.1
1.6,60,2.2,1.49,1.33,0.24,69.6,0.6,2.7
0.5,60,1.3,1.27,1.04,0.38,87.5,0.3,1.2
0.4,60,1.2,1.27,1.02,0.38,87.5,0.3,1
0.6,60,1.8,1.27,1.09,0.38,87.5,0.3,1.5
0.4,60,0.8,1.27,0.98,0.35,85.9,0.43,1.1
0.4,60,0.8,1.27,0.97,0.35,85.9,0.43,1.3
0.4,60,0.8,1.27,0.97,0.35,85.9,0.43,1
0.7,60,1.4,1.27,1.05,0.35,85.9,0.43,1.8
1.1,60,2,1.27,1.14,0.35,85.9,0.43,2.4
1.4,60,2.7,1.27,1.23,0.35,85.9,0.43,3.1
0.1,60,0.2,1.43,0.95,0.55,77.3,0.36,0.1
0.2,60,0.4,1.43,0.97,0.55,77.3,0.36,0.3
0.6,60,1.2,1.43,1.01,0.55,77.3,0.36,1.1
0.6,60,1.3,1.43,1.01,0.55,77.3,0.36,0.9
0.8,60,1.3,1.44,1.03,0.4,75.4,0.47,1.1
1.3,60,1,1,0.99,0.19,100,1.37,1.2
2,60,1.4,1,1.21,0.19,100,1.37,2.2
2.1,60,1.6,1,1.26,0.19,100,1.37,2.4
1.1,60,2.6,1,1.2,0.36,100,0.41,1.9
1.7,60,4.2,1,1.41,0.36,100,0.41,3.7
1.3,60,1.8,1,1.24,0.24,100,0.7,1.3
1.9,60,2.7,1,1.49,0.24,100,0.7,3.4
0.8,60,2.3,1,1.12,0.41,100,0.35,2.4
1.3,60,3.9,1,1.28,0.41,100,0.35,3.5
2.1,60,2.6,1,1.33,0.29,100,0.8,3
2.1,60,2.6,1,1.32,0.29,100,0.8,3.9
0.3,90,0.8,1,0.98,0.36,100,0.41,0.7
0.6,90,1.5,1,1.04,0.36,100,0.41,1.6
1,90,2.4,1,1.12,0.36,100,0.41,2.5
0.9,90,1.4,1,1.04,0.33,100,0.68,2.1
1.3,90,1.9,1,1.1,0.33,100,0.68,2.4
0.5,90,1.6,1,1.04,0.41,100,0.35,1
0.8,90,2.4,1,1.09,0.41,100,0.35,2.9
0.7,90,1.7,1,1.06,0.36,100,0.41,0.9
1.2,90,3,1,1.17,0.36,100,0.41,3.6
0.9,60,1.3,1,1.05,0.33,100,0.68,1.9
1.5,60,2.1,1,1.18,0.33,100,0.68,2.6
1.5,60,2.2,1,1.18,0.33,100,0.68,2.6
1.1,90,1.6,1,1.11,0.24,100,0.7,1.5
1.8,90,2.6,1,1.32,0.24,100,0.7,2.4
1.8,90,2.6,1,1.31,0.24,100,0.7,3.6
0.9,90,0.7,1,0.9,0.19,100,1.36,1
1.5,90,1.1,1,1.02,0.19,100,1.36,1.4
2,90,1.4,1,1.13,0.19,100,1.36,1.8
1,90,0.8,1,0.93,0.19,100,1.36,0.9
1.7,90,1.3,1,1.08,0.19,100,1.36,1.4
0.7,90,1.1,1,1.01,0.24,100,0.69,0.5
1.3,90,1.9,1,1.16,0.24,100,0.69,1.8
1.5,90,2.1,1,1.21,0.24,100,0.69,1.9
0.7,90,0.8,1,0.98,0.29,100,0.8,0.9
1.3,90,1.6,1,1.08,0.29,100,0.8,2
1.4,90,1.7,1,1.1,0.29,100,0.8,2.2
0.8,60,1,1.3,1,0.27,83.7,0.66,0.8
1.2,60,1.5,1.3,1.11,0.27,83.7,0.66,1.4
1.6,60,1.9,1.3,1.22,0.27,83.7,0.66,2
0.8,60,1.2,1.3,1.04,0.28,84.2,0.55,0.8
1.2,60,1.8,1.3,1.16,0.28,84.2,0.55,1.5
1.5,60,2.3,1.3,1.27,0.28,84.2,0.55,1.9
0.1,60,1.1,1.26,1,2.13,84.9,0.11,1.1
0.2,60,1.7,1.28,1,2.05,83.3,0.11,1.2
0.1,60,0.4,1,1,1.47,100,0.26,0.8
0.3,90,1.1,1,1,1.47,100,0.26,1.8
0.7,90,2.8,1,1.01,1.47,100,0.26,5
0.3,90,1,1,1,1.47,100,0.26,1.6
1.1,60,4.2,1,1.02,1.47,100,0.26,6.3
0.3,90,2.8,1,1.01,1.47,100,0.26,5.1
1.3,60,5,1,1.03,1.47,100,0.26,8.8
1.5,60,6,1,1.04,1.47,100,0.26,9.9
1.5,60,6,1,1.04,1.47,100,0.26,7
1.5,60,6,1,1.04,1.47,100,0.26,10
0.1,60,0.2,1.37,0.99,0.97,80.1,0.39,0.2
0.3,60,0.6,1.37,0.99,0.97,80.1,0.39,0.5
0.6,60,1.1,1.37,1,0.97,80.1,0.39,1
1.1,60,2.1,1.37,1.02,0.97,80.1,0.39,1.8
0.8,60,1.6,1.37,1.01,0.97,80.1,0.39,0.7
0.1,60,0.2,1.31,0.99,1.26,79.8,0.4,0.1
0.2,60,0.4,1.31,0.99,1.26,79.8,0.4,0.2
0.4,60,0.9,1.31,1,1.26,79.8,0.4,0.4
0.9,60,1.8,1.31,1.01,1.26,79.8,0.4,0.8
0.4,60,0.8,1.31,1,1.26,79.8,0.4,0.7
0.5,60,0.5,1,0.88,0.26,100,0.92,0.5
0.9,60,1,1,0.99,0.26,100,0.92,1.7
1.4,60,1.5,1,1.13,0.26,100,0.92,2.5
1.9,60,2,1,1.26,0.26,100,0.92,3.5
1.8,60,1.9,1,2.23,0.26,100,0.92,3
1.9,60,2.1,1,1.26,0.26,100,0.92,3.5
1.4,60,1.5,1,1.13,0.26,100,0.92,2.2
0.9,60,1,1,1.01,0.26,100,0.92,1.8
0.5,60,0.5,1,0.89,0.26,100,0.92,0.8
1.8,60,1.9,1,1.23,0.26,100,0.92,3.5
0.4,60,0.4,1,0.9,0.32,100,1.02,0.9
0.8,60,0.8,1,0.96,0.32,100,1.02,1.7
1.1,60,1.1,1,1.02,0.32,100,1.02,2.2
1.5,60,1.5,1,1.08,0.32,100,1.02,3
1.5,60,1.5,1,1.08,0.32,100,1.02,3.4
1.5,60,1.5,1,1.08,0.32,100,1.03,3
1.2,60,1.1,1,1.02,0.32,100,1.03,2.7
0.8,60,0.8,1,0.96,0.32,100,1.03,2.1
0.4,60,0.4,1,0.9,0.32,100,1.03,1.1
1.5,60,1.5,1,1.08,0.32,100,1.03,3.1
0.1,60,0.2,1.37,0.99,0.97,79.8,0.4,0.1
0.3,60,0.6,1.37,0.99,0.97,79.8,0.4,0.3
0.6,60,1.2,1.37,1,0.97,79.8,0.4,0.6
1.2,60,2.4,1.37,1.03,0.97,79.8,0.4,0.9
1.3,60,2.5,1.37,1.03,0.97,79.8,0.4,1
1.6,60,3.1,1.37,1.04,0.97,79.8,0.4,1.3
0.1,60,0.2,1.31,0.99,1.26,80.1,0.39,0.2
0.2,60,0.4,1.31,0.99,1.26,80.1,0.39,0.6
0.4,60,0.9,1.31,1,1.26,80.1,0.39,1
0.8,60,1.7,1.31,1.01,1.26,80.1,0.39,1.8
0.9,60,1.8,1.31,1.01,1.26,80.1,0.39,1.9
0.7,60,1.4,1.31,1,1.26,80.1,0.39,1.2
0.8,60,1.1,1.45,1,0.21,67.7,0.52,1.2
1.6,60,2.1,1.45,1.07,0.21,67.7,0.52,2
